Title,Date,Location,Description,Tags,latitude,longitude
Dear Trevor Authors ,2011-05-18,"80 Maiden Ln
New York, NY 10038
(40.70722063476455, -74.00745556513084), NY 10038.0","""Dear Trevor"" is an online, non-time sensitive question and answer resource for young people with questions surrounding sexual orientation and gender identity.",Helping Neighbors in Need,40.707116,-74.007329
Computer Lab Teaching Assistant,2011-01-10,"331 70th Street
New York, NY 10018
(40.63454489394634, -74.02560091774434), NY 10018.0",The Computer Education Center at Lenox Hill Neighborhood House provides a supportive place for adults of all ages to learn how to use computers in ways that are meaningful to their lives.,Strengthening Communities,,
Leadership and Community Activism Mentor,2011-08-09,"1430 Broadway
New York, NY 10018
(40.7539853802881, -73.9869780025237), NY 10018.0",We are looking for volunteer Leadership and Community Activism Mentors for the Launch It! Summer Workshop program.,Helping Neighbors in Need,40.754158,-73.986905
Online Marketing Plan for Professionals,2011-06-05,"407 Broome Street
New York, NY 10013
(40.720962275372244, -73.99794973128115), NY 10013.0","Online marketing may include social media marketing, search engine optimization, display advertising on partner sites, brand integration, email blasts, search engine marketing or message board communication.",Strengthening Communities,40.720942,-73.997929
YOUR PLANET: THE HUMAN MAPPING PROJECT,2011-09-17,"New York, NY",Artichoke Dance Company performs YOUR PLANET: THE HUMAN MAPPING PROJECT at the culmination of beach clean up days to celebrate the earth.,Environment,,
Event Set Up / Break Down,2011-06-05,"333 Seventh Avenue
New York, NY 10001
(40.747492275236596, -73.99319231774615), NY 10001.0","Help with either Set up or Break down which would consist of doing so with the various tents and activities occuring on that day, i.e. lunch, rest stops, etc.",General,40.747629,-73.99306
Eastern John Muir Volunteer Day,2011-05-07,"124 Gale Place
Bronx, NY 10463
(40.88463029202243, -73.89251933209881), NY 10463.0",Restore the forest through invasive removal and tree planting as well as maintenance work along the trail itself,Strengthening Communities,40.884999,-73.892977
Take a Stand Against Violence,2011-02-07,"240 35th Street
New York, NY 10001
(40.75233062775419, -73.99168145673696), NY 10001.0",Be a hero in the LGBTQ communities!   Volunteer with the NYC Gay and Lesbian Anti-Violence project.,Strengthening Communities,,
Carpentry and Interior Design,2011-04-12,"165 105th Street
New York, NY 10025
(40.79937645675807, -73.96519802101764), NY 10025.0",Design and/or craft improvements for our office space,General,,
General Support Volunteer,2011-09-15,"32 Broadway
New York, NY 10004
(40.70604252290616, -74.01308532103428), NY 10004.0",Ubuntu Education Fund seeks a volunteer to assist with all communications and fundraising activities in the New York City office,Strengthening Communities,40.706045,-74.013096
Health Services Office Assistant,2011-07-12,"305 7th Avenue between 27th and 28th Street
New York, NY 10001
(40.75025902143676, -73.99688630375988), NY 10001.0",Filing and other office duties,Health,40.746817,-73.993655
Park Volunteer ,2011-03-26,"24 20 FDR Drive Service Rd
New York, NY 10010
(40.73914078212147, -73.98289845639863), NY 10010.0","Volunteer Day, March 26th 2011, from 9am to 12pm",Strengthening Communities,40.736274,-73.97468
Food Tent Volunteer,2011-06-05,"333 Seventh Avenue
New York, NY 10001
(40.747492275236596, -73.99319231774615), NY 10001.0","We will be providing breakfast, snacks, and lunch to our participants and need help distributing the food and insuring organization at the food tent.",General,40.747629,-73.99306
Bideawee Greeters,2011-01-21,"410 38th St
New York, NY 10016
(40.74602638032883, -73.9710330229442), NY 10016.0","Bideawee Greeters will welcome visitors to Bideawee's East 38th Street location when the veterinary practice is open and serve as an information resource, directory and ease visitor's transition into Bideawee's facilities.",Strengthening Communities,,
Press Kit for Professionals,2011-06-06,"407 Broome Street
New York, NY 10013
(40.720962275372244, -73.99794973128115), NY 10013.0","A press (or media) kit is a collection of compelling communications materials that provide important information about an organization, its mission, recent news, and accomplishments. A press kit can be easily distributed to members of the media or to other interested parties.",Strengthening Communities,40.720942,-73.997929
Be a Mentor.... Because Every Child Deserves a Chance!,2011-04-27,"160 CONVENT AVE
New York City, NY 10031
(40.81951334804657, -73.95002324608663), NY 10031.0",Learn how you can directly make a positive impact on youth in Harlem!,Education,40.819196,-73.950221
Volunteer-Community Health Advocates,2011-02-14,"New York, NY","Community Health Advocates (CHA);formerly NYC Managed Care Consumer Assistance Program or NYC MCCAP provides information, advice, and navigational assistance to New Yorkers.",Health,,
Volunteer with Storytelling in the Park-Queens,2011-07-01,"80 30 Park Lane Kew Gardens
NY,  11415
(40.708286075142325, -73.82855612156771), NY 11415.0","Volunteer at Broad Channel Park in Queens.  Storytelling will take place on Friday mornings in July.  Volunteers will assist with crafts, games, snack distribution and face painting.",Strengthening Communities,40.710954,-73.835147
Art Programming at Incarnation Children’s Center,2011-04-16,"165 46th Street
New York, NY 10036
(40.7586085621595, -73.98506333562563), NY 10036.0",We are looking for artists to do arts programming with middle school and high school age students at the Incatnation Children's Center.  ICC is a nursing facility for children who are HIV positive and living with physical and cognitive disabilities.  Position is from April 16 - 30.,Strengthening Communities,,
Girl Scout Series - Bronx ,2011-09-19,"New York, NY","We are New York City’s largest girls-only youth and leadership development program where girls learn to lead with courage, confidence and character to make their communities and the world  a better place.",Strengthening Communities,,
Patient and Caregiver Support,2011-06-29,"80 8th ave
New York, NY 10011
(40.74000092273252, -74.00233842278413), NY 10011.0",Share meals with patients and caregivers that have travelled to NYC for medical treatment and are staying at the Miracle House facility.,Helping Neighbors in Need,40.739851,-74.002439
Arts Instructors,2011-10-01,"985 Rockaway Avenue
Brooklyn, NY 11212
(40.656451255408264, -73.90732282830548), NY 11212.0",PAL Brownsville Beacon Center (BBC) seeks dedicated volunteer artists and educators to lead a family engagement arts-based project connecting parents and teens.,Strengthening Communities,40.656068,-73.907245
College Shower Fundraisers,2011-05-14,"271 23rd Street
New York, NY 10011
(40.74507309897774, -73.99795872450147), NY 10011.0",Girls Inc of NYC is looking for volunteers to help distribute Boston Market fundraiser coupons to support its 12th Annual College Shower!,Strengthening Communities,,
GED Instructer Needed!,2011-01-12,"356 123rd St
New York, NY 10027
(40.809779318985875, -73.95430563319923), NY 10027.0",Instruct adults lacking HSD/GED in preparation for the GED exam in a small group setting in Harlem.,Helping Neighbors in Need,,
Lanch It! Summer Workshop Student/Volunteer,2011-08-09,"1430 Broadway
New York, NY 10018
(40.7539853802881, -73.9869780025237), NY 10018.0",Get leadership & community organizing training and apply learning to launch a project. T.G.I. Friday's meal provided.,Strengthening Communities,40.754158,-73.986905
Cents Ability Classroom Set-up,2011-01-22,"37 Avenue
New York, NY 10009
(40.72664935898081, -73.97911148500697), NY 10009.0",Help us set up a new training classroom to teach young adults personal finance!,Strengthening Communities,,
Neighborhood Profiles Coordinator,2011-02-23,"1 Centre Street
New York, NY 10007
(40.71320112625938, -74.00400216853836), NY 10007.0",Big Apple Greeter is looking for a volunteer to coordinate the Neighborhood Information Profiles that appear on our website (www.bigapplegreeter.org).,Strengthening Communities,40.713001,-74.004181
Russian translator,2011-07-20,"305 Seventh Avenue
New York, NY 10001
(40.74678037991758, -73.99366420981637), NY 10001.0",Volunteer needed to translate written materials from English into Russian.,Helping Neighbors in Need,40.746817,-73.993655
Organizational Budget Design and Development for Professionals,2011-06-05,"407 Broome Street
New York, NY 10013
(40.720962275372244, -73.99794973128115), NY 10013.0","An operating budget provides an organization's leadership with focus to analyze key financial and strategic issues. Budget design and development involves all key stakeholders in the budgeting process, and helps an organization move from reactive to proactive, profitable money management.",Strengthening Communities,40.720942,-73.997929
Not-for-profit Volunteer opportunities with pioneer Capoeira arts organization (various positions),2011-02-23,"107 Suffolk ST
New York, NY 10002
(40.719521874540526, -73.98583731954874), NY 10002.0",We are a family of volunteers who are passionate to spread Capoeira experience among the youth and community. We are proud to join the journey with Afro-Brazil-Arts to tell you how to love and be loved by Capoeira,Strengthening Communities,40.718943,-73.986122
E-Newsletter Writing for Professionals,2011-06-04,"407 Broome Street
New York, NY 10013
(40.720962275372244, -73.99794973128115), NY 10013.0","An e-newsletter communicates recent developments, news and events to an organization's stakeholders. Timely and thoughtful e-newsletters provide a cost-effective way for an organization to engage supporters and donors while enhancing the organization's brand.",Strengthening Communities,40.720942,-73.997929
"Lead crafts, games, face painting and popcorn making in Queens!",2011-10-16,"8030 Park Lane Kew Gardens
NY,  11415
(40.711186177816984, -73.83543395214066), NY 11415.0","Volunteers are needed for Bayswater Park's Fall Festival on October 16, 2011.  Duties include crafts, games, face painting and popcorn making. This event will be held in Far Rockaway, Queens.",Strengthening Communities,40.710954,-73.835147
Tutor,2011-08-23,"305 Seventh Avenue
New York, NY 10001
(40.74678037991758, -73.99366420981637), NY 10001.0",Help an adult with a developmental disability to fulfill his goal of passing his classes. He needs assistance with his remedial math and english classes.,Helping Neighbors in Need,40.746817,-73.993655
Volunteer at Haunted Lantern Tours at Fort Totten-Queens,2011-10-29,"80 30 Park Ave Kew Gardens
NY,  11415
(40.708286075142325, -73.82855612156771), NY 11415.0","Volunteers are needed for a Haunted Lantern Tour in Fort Totten, Queens, in the following areas:singers, clowns, magicians, arts and crafts.",Strengthening Communities,,
Sunday Soup Kitchen Outreach Volunteers,2011-01-25,"1047 Amsterdam Ave
New York, NY 10025
(40.80384978364436, -73.96317712587883), NY 10025.0","Every Sunday at our outreach/information table, Cathedral Community Cares’ volunteers provide information and referrals to clients of the Sunday Soup Kitchen.",Helping Neighbors in Need,40.803951,-73.963139
Event Sponsorship for Professionals,2011-06-06,"407 Broome Street
New York, NY 10013
(40.720962275372244, -73.99794973128115), NY 10013.0","Obtaining funding through corporate sponsorship is fundamental to the success of many events. However, securing corporate sponsorships for events can be challenging and skills involved are very different from those that work in organization’s everyday fundraising.",Strengthening Communities,40.720942,-73.997929
Concert Site Assistants Wanted ,2011-09-09,"601 57th Street
New York, NY 10019
(40.770388783849285, -73.99149741362523), NY 10019.0",The September Concert Foundation produces free concerts in NYC and needs stagehands to set-up and break-down. You would need to be available for a few hours on a day of the concert. It is a great opportunity to see a concert production from inside.,Strengthening Communities,,
Park Volunteer,2011-04-12,"24 61
New York, NY 10023
(40.774536138232236, -73.97994335610099), NY 10023.0",Help Clean and Spruce Up Gorman Park,General,,
Young Adult Tutor (Updated 3/30/11),2011-02-18,"New York, NY","Change your life by changing someone else’s. Tutor young adult males in high school who are aging out of the foster care system. Are you reliable? Social? Do you have a positive attitude? If that was a resounding yes, then see full description...",Education,,
Fly-by-Night Dance Theater - Volunteer Grant Writer for Youth Dance Program,2011-03-22,"116 Seaman Ave
New York, NY 10034
(40.86858598648183, -73.9237466706436), NY 10034.0","Fly-by-Night is in need of a grant writer or fund-raising person to help with securing funds for their after-school dance program at the Muscota New School, Manhattan.  Their program, free to participants , is focused on keeping students physically active as well as engaging them intellectually.",Strengthening Communities,40.868553,-73.92383
Volunteer at the Stop 'N' Swap,2011-06-18,"New York, NY","Volunteers will help us keep things organized at this fun reuse event where people bring clean, working, portable items they no longer need to share with others. Bring your swimsuit and take a dip in the ocean when the event is over! Volunteers will also help set up and break down.",Strengthening Communities,,
Client Services and Welcome Desk,2011-08-16,"32 Broadway
New York, NY 10004
(40.70604252290616, -74.01308532103428), NY 10004.0",NYAWC is seeking a volunteer to support the efficient operations of the Client Services division.,Helping Neighbors in Need,40.706045,-74.013096
Marketing Intern for Youth Programs Serving LGBT Youth,2011-09-15,"570 7th Ave
New York, NY 10018
(40.75520845824798, -73.98756256184276), NY 10018.0","Live Out Loud is a nonprofit organization that connects LGBT youth with positive, dynamic role models.  We are seeking a marketing intern who is also able to help develop and execute marketing strategies for our programs and events.",Strengthening Communities,40.755119,-73.987638
Manhattan/East 54st Rec. Center: Water Aerobics Instructor for Shape Up New York,2011-09-14,"New York, NY","NYC Parks and Recreation seeks your participation to enrich our recreation facilities! Shape Up New York is a free fitness program for all ages and is looking for additional instructors at the East 54th st. Recreation Center (348 East 54th street, NY, NY, 10022), accessible by the E, M trains.",Health,,
Volunteer Videographer,2011-06-23,"1 Centre Street
New York, NY 10007
(40.71320112625938, -74.00400216853836), NY 10007.0","Big Apple Greeter is looking for a videographer to take videos during our two annual fundraisers, Greeter for a Day outings, and other special events as needed.",Strengthening Communities,40.713001,-74.004181
Mentors ,2011-09-01,"286 Madison Avenue
New York, NY 10017
(40.75174378405803, -73.98009563619694), NY 10017.0","Mentors are asked to meet with their students 4-6 times a year, and maintain monthly contact by phone or email.  SSP organizes events throughout the school year that mentors and students may attend together, or mentors may meet with students on their own – the commitment is flexible.",Education,40.751728,-73.980084
Purim Envelope Stuffing,2011-03-10,"1372 Coney Island Ave
Brooklyn, NY 11230
(40.62409891619836, -73.96513223562873), NY 11230.0","Help is needed to stuff, seal and stamp approximately 15,000 envelopes, in preparation for the upcoming Purim holiday.",Strengthening Communities,40.624126,-73.965061
Lead Community Workshop,2011-02-02,"7111 5th Avenue
Brooklyn, NY 11209
(40.63245112562076, -74.02139571101452), NY 11209.0","AAANY is starting workshops to meet the needs of the Arab Immigrant community in the greater NYC area.  We are looking for Volunteers to run workshops covering community empowerment/ information topics ranging from transportation, US laws and regulations, school registration, and health care.",General,40.63238,-74.021444
Pantry Distribution,2011-08-17,"8 109th Street
New York, NY 10029
(40.795965732615855, -73.94910755186987), NY 10029.0",Volunteers help pack and distribute nutritious groceries to low-income families and individuals.,Helping Neighbors in Need,,
Western John Muir Volunteer Day,2011-05-14,"124 Gale Pl
Bronx, NY 10463
(40.88463029202243, -73.89251933209881), NY 10463.0",Remove invasive plants and help native trees and shrubs.,Strengthening Communities,40.884999,-73.892977
Urban Adventures - Ice Skating at Lasker Rink,2011-01-29,"New York, NY","Please join us and the students from Mott Hall on Saturday, January 29th, for an ice skating trip to Lasker Lanes!",Strengthening Communities,,
Do You Enjoy Working on a Computer? --55+ Only,2011-01-25,"105 22nd Street
New York, NY 10010
(40.73943216627024, -73.98656260495757), NY 10010.0",Do you want to help a public television station make sure it’s revenue comes through?  Become an accounting volunteer and help enter data and update their database.,Strengthening Communities,,
MATH tutors needed!,2011-10-01,"154 93rd St
New York, NY 10025
(40.79156776872092, -73.97053578315399), NY 10025.0",Help 6th-8th graders conquer their fear of basic math with individualized tutoring and real-world examples. No prior experience is necessary but motivated volunteers (all ages) who want to help kids succeed are key!,Education,,
Information Technology Support ,2011-03-21,"380385 Brooklyn
NY,  11238
(40.67886241346963, -73.9638204696389), NY 11238.0",Provide IT and network support at community based organizations in New York City who are currently partnering with iGotITtoo.,Strengthening Communities,,
Mentor,2011-07-08,"1401 36th Ave
Queens, NY 11106
(40.76021383635026, -73.93744882217851), NY 11106.0","When you make the commitment to become a mentor, you are making the decision to have a real impact on a young person's life.  Staff will guide you through recreation, enrichment, and academic activities through which you can share your skills, interests, and experiences with your mentee.",Education,40.760205,-73.937473
Graphic Design for Professionals,2011-06-05,"407 Broome Street
New York, NY 10013
(40.720962275372244, -73.99794973128115), NY 10013.0","Print materials such as brochures, one-pagers, event invitations, flyers, and posters serve as valuable marketing tools. To put an organization's best messages forward, a designer combines copy content, photographs, brand, and logo together in a visually interesting and professional manner.",Strengthening Communities,40.720942,-73.997929
Mentor Homeless Youth,2011-09-19,"Hillside Avenue Queens
, NY 11432
(40.71075497033968, -73.79303471029502), NY 11432.0",Mentor homeless children between the ages of 2 to 12 at our weekend enrichment program.,Education,,
Shred Fest 2011!!,2011-05-22,"42 Broadway
NY, NY 10004
(40.7062044008714, -74.01295941595015), NY 10004.0",we are inviting all New Yorkers to protect their identity by bringing personal documents to be shredded for free at more locations than ever: 16 locations throughout the City. Shred Fest hours are from 10 am to 4 pm.  Shred Fest volunteers will be needed on-site from 9:30 am to 4:30 pm.,Helping Neighbors in Need,40.70627,-74.012909
"Volunteers Sought - School for Autistic, Douglaston Qns.",2011-08-04,"253 35th Street
New York, NY 10001
(40.75251948538039, -73.99214910419215), NY 10001.0","We need help in our preschool building where we serve children with autism.  Building is in Douglaston, Queens and we need volunteers for Clerical/Administrative Duties & Cleaning.  QSAC is a non profit agency serving children with autism throughout NYC.  Please help us make a difference today!",Education,,
Skilled volunteers to help Rebuilding Together home repairs,2011-06-01,"New York, NY",Skilled volunteers to help Rebuilding Together with home repairs.,Helping Neighbors in Need,,
Be a Driver and Make a Difference - 55+ Only,2011-05-25,"105 22nd Street
New York, NY 10010
(40.73943216627024, -73.98656260495757), NY 10010.0",Drivers needed to take individuals to medical appointments.  Very rewarding.  Some people are not able to go to their medical appointments without this assistance.,Helping Neighbors in Need,,
Volunteers for a Children's Cancer Walk!,2011-05-21,"New York, NY","Hope & Heroes is looking for volunteers for our walk on Saturday, May 21 in Riverside Park! To learn more about the walk please go to www.hopeandheroeswalk.org",Strengthening Communities,,
Decision Day 2011 Needs Your Help!!,2011-05-16,"New York, NY","Groundwork, Inc. is hosting a Decision Day pep rally & barbeque in honor of our college bound students! The day also serves as an opportunity to advocate college enrollment throughout the community!",Strengthening Communities,,
SNOW SHOVELING FOR SENIORS,2011-01-12,"150-L Greaves Lane Staten Island
NY,  10308
(40.55398681414339, -74.14475942007853), NY 10308.0",Where to Turn is looking for student volunteers to shovel snow for senior citizens on Staten Islans,Helping Neighbors in Need,,
Girl Scout Series - Harlem ,2011-09-19,"509 129th St
Harlem, NY 10027
(40.81520669715875, -73.9551464649788), NY 10027.0","We are New York City’s largest girls-only youth and leadership development program where girls learn to lead with courage, confidence and character to make their communities and the world  a better place.",Education,,
Get the tools to volunteer for Recycling!,2011-10-19,"New York, NY",Recycling in the city has declined and we need YOU to help get NYC recycling again! Volunteers will work with OROE's borough-wide coordinators to teach New Yorkers to recycle more and waste less.,Environment,,
ESL Teacher Assistant,2011-09-06,"421 155th Street
Bronx, NY 10455
(40.820027861846086, -73.91525005078392), NY 10455.0",work closely with NYS licensed ESL teacher to provide instruction to recently arrived immigrants. Classes are in the mornings and evenings. Requires at least 4 hours per week commitment. Teaching experience not required.,Education,,
Nutrition Workshop for Seniors,2011-09-01,"171 Lexington Ave
New York, NY 10016
(40.74423799432977, -73.9812457099107), NY 10016.0","Metropolitan Council on Jewish Poverty is one of New York's largest human services agencies, providing more than 100,000 New Yorkers with critical services in their fight against poverty and its effects every year.",Health,40.744241,-73.981285
Saturday Tutors Needed!,2011-10-08,"New York, NY","During GO School Saturday Tutorial Program, a professional teacher models a lesson, activity or project to a classroom of students.  Volunteer tutors continue to work with small groups of (2) to (4) students on the lesson providing individualized attention which allows the students to thrive.",Education,,
Administrative Assistant ,2011-08-10,"2038 Davidson Avenue
Bronx, NY 10453
(40.85374837851653, -73.90853996733885), NY 10453.0","Volunteers help by conducting adminstrative tasks, such as answering phones, conducting data entry and processing mailings.",Strengthening Communities,40.853537,-73.908741
Sign Up for the CUNY - Citizenship Now! Volunteer Corps,2011-09-22,"101 31st St
New York, NY 10001
(40.74795702400355, -73.98923961872805), NY 10001.0","By joining the NYC/CUNY Citizenship Now! Corps you become part of a team that thrives on helping others.  Corps volunteers also enjoy many benefits, including the following",General,,
Community Clean Up at Asbury Cementary in Staten Island ,2011-04-02,"New York, NY",Clean up of abandoned cemetery on Staten Island,Strengthening Communities,,
Chinese Translator Needed,2011-03-02,"50 Broad Street
New York, NY 10004
(40.705530442636864, -74.0115002665583), NY 10004.0",The New York City Coalition Against Hunger is seeking a Chinese translator to help with translation work for our “Guide(s) to Free Food & Assistance” (aka “Street Sheets” project).,Helping Neighbors in Need,40.705689,-74.011455
Volunteer for Earth Day Events,2011-04-21,"201 42nd Street
New York, NY 10017
(40.75079056486506, -73.97443173060336), NY 10017.0","Please volunteer for Earth Day events on April 21st, 22nd, or 23rd.",Environment,,
Volunteer Citizenship Tutor,2011-02-03,"7111 5th Avenue
Brooklyn, NY 11209
(40.63245112562076, -74.02139571101452), NY 11209.0",Help us tutor Arab Immigrants applying for the US citizenship.  Small group or one-on-one tutoring Training and materials all provided  Requirements: 1) Two Hour weekly commitment 2) Cultural Sensitivity to Arab Immigrants,Helping Neighbors in Need,40.63238,-74.021444
Fundraising Volunteer Opportunities,2011-04-12,"165 105th Street
New York, NY 10025
(40.79937645675807, -73.96519802101764), NY 10025.0","Fundraising - foundations, direct mail, personal solicitation, business, government a0nd planned giving",Strengthening Communities,,
Run for the Wild ,2011-10-09,"2300 Southern Boulevard
Bronx, NY 10460
(40.85069279863572, -73.8823905260465), NY 10460.0","Make tracks for turtles in the WCS Run for the Wild at the New York Aquarium. This 5K-run and Family Fun Run takes place on the boardwalk at Coney Island on Sunday, October 9, and is dedicated to saving turtles",Environment,40.850669,-73.88242
Volunteers Needed in Bay Ridge/Benonhurst Area of Brooklyn to visit Homebound Seniors!,2011-08-01,"3001 37th Street
Brooklyn, NY 11224
(40.573273749723825, -74.00249064003097), NY 11224.0",The Friendly Visiting Program needs volunteers to visit homebound seniors in the Bay Ridge/Bensonhurst area of Brooklyn.,Helping Neighbors in Need,,
Volunteer Instructors/Teachers/Mentors,2011-09-08,"1120 Avenue
New York, NY 10036
(40.75934682719435, -73.989860554421), NY 10036.0","Currently looking for volunteer mentors and instructors who will work on a team to provide SAT test prep, writing and critical thinking instruction, mentoring, and college prep services.",Education,,
Arts Workshops Intern Needed,2011-09-08,"548 Broadway
New York, NY 10012
(40.723633146495736, -73.99822304358818), NY 10012.0",The HAI Arts Workshops department is looking for one intern to work 30 hours each week for the 2010-2011 academic year.,Strengthening Communities,40.723624,-73.99829
Movie screener for Seniors,2011-03-10,"80 Maiden Lane
New York, NY 10038
(40.70722063476455, -74.00745556513084), NY 10038.0",A volunteer who can screen movies about nutrition and fitness for low-income seniors in Brooklyn.,Health,40.707116,-74.007329
Volunteers Needed for Senior Lunch Program!,2011-06-19,"New York, NY","In celebration of Father's Day, we invite fathers and their son or daughter to volunteer at our Senior Lunch Program this Sunday, June 19th at 12pm.",Helping Neighbors in Need,,
Administrative Support Volunteer,2011-02-17,"520 8th Ave
New York, NY 10018
(40.75376054978079, -73.99232896859803), NY 10018.0","Goal of Position: To help provide office assistance related to ongoing programs in the Special Projects Department Activities: Data entry, filing, research, report creation and analysis, official document editing",Emergency Preparedness,40.753612,-73.992417
Moving storage!,2011-09-28,"24 20 FDR Drive Service Rd
New York, NY 10010
(40.73914078212147, -73.98289845639863), NY 10010.0",Help a small non-profit move their things from one storage space to another on Wednesday September 28 from 12 - 3pm!,General,40.736274,-73.97468
Gardening at Ft Tryon Park,2011-08-21,"New York, NY",Please join us at the Ft Tryon Park!  First time gardener's and those whom have never done any gardening work are welcome! Groups are welcome as well!  Please be prepared to be flexible and dress accordingly as we will be doing various gardening tasks.,Strengthening Communities,,
Help Feed Hungry New Yorkers --55+ Only,2011-01-25,"105 22nd Street
New York, NY 10010
(40.73943216627024, -73.98656260495757), NY 10010.0",Volunteers needed to deliver meals to home bound individuals.  Meal delivery takes about an hour or two and your route can be close to your home or place of employment.,Helping Neighbors in Need,,
Greenhouse/Greening,2011-04-01,"515 Audubon Avenue
New York, NY 10040
(40.85474542045091, -73.92794650452043), NY 10040.0",Maintain the greenhouse   Work with residents one-one or in small groups and plants.,Environment,40.854783,-73.927909
Energy Efficiency Outreach,2011-04-11,"37 43 77th Street Jackson Heights
NY,  11372
(40.75163073936716, -73.88361254528269), NY 11372.0","Chhaya CDC seeks volunteers to promote its exciting new program called Retrofit, Block by Block.  By linking eligible homeowners and tenants to free or low-cost home energy assessments and improvements, Chhaya will help New Yorkers save money on utility bills while greening our communities.",Environment,40.747993,-73.888827
Laser Tag with Harlem Dowling 175th Street ,2011-02-19,"336 Fort Washington Ave at 175th Street
New York, NY 10033
(40.85621992920642, -73.94585900019268), NY 10033.0","The kids and the Street Project volunteers will be enjoying a day of laser tag at the NYC Paintball and Laser Tag center over in Long Island City, Queens.",Strengthening Communities,40.846391,-73.940099
"Seeking Research, Writing, and Editing Volunteers",2011-04-12,"165 105th Street
New York, NY 10025
(40.79937645675807, -73.96519802101764), NY 10025.0","Research, writing and editing volunteers needed",Strengthening Communities,,
Volunteer Open House,2011-04-14,"New York, NY",This is an opportunity for adults and high school students to obtain information regarding volunteer opportunities in a hospital/healthcare environment,Health,,
JASA Volunteer Art Teacher at Mill Basin Senior Center,2011-03-07,"2075 68th Street
Brooklyn, NY 11234
(40.61878522290015, -73.91010666655434), NY 11234.0",Volunteer as little as one hour per week to work with our seniors on arts and crafts project.,Helping Neighbors in Need,40.613906,-73.986151
9th Annual West Side County Fair,2011-09-10,"New York, NY","Enjoy a little country right here in Manhattan with live performances, carnival rides, a reptile show, and more at Summer on the Hudson’s 9th Annual West Side County Fair, a park-wide event on Saturday, September 10, from 1-6 pm.",Strengthening Communities,,
"Journalism, Copywriting, Creative Writing Opportunity",2011-04-14,"165 105th Street
New York, NY 10025
(40.79937645675807, -73.96519802101764), NY 10025.0","Are you interested in journalism, research, writing and editing, volunteer with us!",General,,
Qualified Board Member Seats Available,2011-02-18,"New York, NY","The WorldofMoney.org has a five year of a proven track record of delivering empowering financial and business education to underserved youth, ages 12 - 18.",Strengthening Communities,,
JASA Van Cortlandt Day of Remembrance Volunteer,2011-01-27,"132 31st Street
New York, NY 10001
(40.74849052268911, -73.99056629742063), NY 10001.0",Help with MLK celebration event,Strengthening Communities,,
Accounting Volunteer Opportunity,2011-04-12,"165 105th Street
New York, NY 10025
(40.79937645675807, -73.96519802101764), NY 10025.0","The accounting intern/ volunteer will be exposed to a number of topics in the accounting discipline such as basic accounting and bookkeeping, cost-benefit analysis, reporting, socially-responsible investing.",Strengthening Communities,,
DOROT's 9/11 Day of Service and Rosh Hashanah Package Delivery!,2011-09-11,"171 85th Street
New York, NY 10024
(40.786855600459035, -73.97516990427897), NY 10024.0",Deliver a holiday package to a senior on the anniversary of 9/11.,Helping Neighbors in Need,,
Classroom Assistants,2011-09-06,"305 Seventh Avenue
New York, NY 10001
(40.74678037991758, -73.99366420981637), NY 10001.0",Assist teachers in an Early Head Start program.,Education,40.746817,-73.993655
Teacher for ABE and Pre-GED students,2011-09-12,"2071 Fulton St
Brooklyn, NY 11233
(40.67827825514447, -73.91028377492181), NY 11233.0",A residential substance abuse treatment program needs a teacher for men and women ON-SITE at 2071 Fulton St. Brooklyn. Experience working with students at multiple levels is PREFERRED. Minimum three days a week. ..10-20 students.,Helping Neighbors in Need,40.678253,-73.910178
NYC Compost Project Master Composter Certificate Course,2011-07-08,"New York, NY",The NYC Compost Project Master Composter Certificate Course is a train-the-trainer program for persons interested in volunteering to advance on-site composting in NYC.,Environment,,
9/11 Memorial Volunteers - A Mission of Honor & Hope,2011-09-12,"1 Liberty St
New York, NY 10006
(40.7091849032636, -74.01057253131532), NY 10006.0",The 9/11 Memorial is seeking dedicated volunteers to support the Visitor Services staff and to play a vital role in providing a meaningful experience to visitors from around the world coming to one of the world’s foremost historical sites.,Strengthening Communities,40.707303,-74.007574
Penny Harvest Run For Change!,2011-04-30,"570 Columbus Avenue
New York, NY 10024
(40.787638010624505, -73.97132979921389), NY 10024.0",Common Cents is recruiting volunteers to help with our first Annual Run for Change 5K Run/ Walk.,Strengthening Communities,40.787556,-73.971407
Soccer/Futsal Assistant Coach,2011-05-01,"233 77th Street
New York, NY 10024
(40.78255158071745, -73.98091585032279), NY 10024.0","Our After School programs/clinics are designed to foster self-esteem & leadership skills. Skills Required: Experience playing/coaching soccer + an interest in working w/ children is a must! Futsal experience is a plus, but not necessary as we will educate you about the game and how to coach Futsal.",Health,,
Senior Alliance Registrar,2011-09-26,"247 37th Street
New York, NY 10018-5706
(40.75376954300111, -73.99127676182377), NY nan",ASA's Senior Alliance Senior Center is looking for volunteer registrars to assist with the greeting and registering of our members for daily lunch and classes. Volunteers should be mature and organized. We look forward to hearing from you!,Helping Neighbors in Need,,
Transportation Alternatives Bike Ambassador Data Entry Volunteers,2011-06-07,"127 26th St
New York, NY 10002
(40.601149489516224, -73.99944293492823), NY 10002.0","As we collect the names of thousands of safe street supporters all summer long, we need help entering them in our database.  Our office has a fun, welcoming staff, and a fridge stocked with cold drinks! Come help us make NYC the bike friendly city of your dreams!",Education,,
